,Name,Sex,Event,Age,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,AgeClass,Federation,Date,MeetCountry,MeetState,MeetName
0,Angie Belk Terry,F,SBD,47.0,47.63,20.41,70.31,45-49,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
1,Dawn Bogart,F,SBD,42.0,142.88,95.25,163.29,40-44,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
2,Dawn Bogart,F,SBD,42.0,142.88,95.25,163.29,40-44,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
5,Courtney Norris,F,SBD,28.0,170.1,77.11,145.15,24-34,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
6,Maureen Clary,F,SBD,60.0,124.74,95.25,163.29,60-64,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
7,Maureen Clary,F,SBD,60.0,124.74,95.25,163.29,60-64,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
8,Priscilla Sweat Pardue,F,SBD,52.0,120.2,54.43,108.86,50-54,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
10,Kayce Hoover,F,SBD,24.0,138.35,65.77,136.08,24-34,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
11,Cindy Meeker,F,SBD,56.0,120.2,43.09,129.27,55-59,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
12,Cindy Meeker,F,SBD,56.0,120.2,43.09,129.27,55-59,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
13,Candice Pardue Maness,F,SBD,54.0,102.06,74.84,106.59,50-54,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
14,Danielle Ortiz,F,SBD,17.0,81.65,49.9,115.67,16-17,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
15,Jessica Jenkins,F,SBD,32.0,229.06,161.03,210.92,24-34,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
16,Jessica Wissmann,F,SBD,25.0,142.88,68.04,136.08,24-34,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
17,Emma Love,F,SBD,18.0,86.18,52.16,83.91,18-19,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
18,Kelly Benson,F,SBD,22.0,102.06,77.11,120.2,20-23,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
19,Cathy Cranford,F,SBD,56.0,86.18,38.56,102.06,55-59,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
20,Alexis Eliopoulos,F,SBD,30.0,174.63,122.47,195.04,24-34,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
22,Paula Bowers,F,SBD,34.0,74.84,47.63,92.99,24-34,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships
79,Maggie Parsons,F,SBD,20.0,75.0,37.5,100.0,20-23,365Strong,2016,USA,MO,Thanksgiving Powerlifting Classic
83,Lisha Lamb,F,SBD,20.0,127.5,62.5,135.0,20-23,365Strong,2016,USA,MO,Thanksgiving Powerlifting Classic
84,Carley Bradshaw,F,SBD,20.0,127.5,57.5,132.5,20-23,365Strong,2016,USA,MO,Thanksgiving Powerlifting Classic
85,Chelsey Roberts,F,SBD,26.0,102.5,55.0,127.5,24-34,365Strong,2016,USA,MO,Thanksgiving Powerlifting Classic
87,Natalie Mayfield,F,SBD,38.0,140.0,75.0,157.5,35-39,365Strong,2016,USA,MO,Thanksgiving Powerlifting Classic
143,Cathy Cranford,F,SBD,56.0,68.04,43.09,102.06,55-59,365Strong,2016,USA,NC,Charlotte Europa Games
144,Lindsay Seamans,F,SBD,31.0,90.72,43.09,92.99,24-34,365Strong,2016,USA,NC,Charlotte Europa Games
145,Tricia Emrich,F,SBD,44.0,117.93,68.04,129.27,40-44,365Strong,2016,USA,NC,Charlotte Europa Games
146,Taylor Nugent,F,SBD,25.0,83.91,47.63,124.74,24-34,365Strong,2016,USA,NC,Charlotte Europa Games
147,Maureen Clary,F,SBD,60.0,120.2,95.25,138.35,60-64,365Strong,2016,USA,NC,Charlotte Europa Games
148,Maureen Clary,F,SBD,60.0,120.2,95.25,138.35,60-64,365Strong,2016,USA,NC,Charlotte Europa Games
149,Victoria Renfroe,F,SBD,19.0,115.67,68.04,149.69,18-19,365Strong,2016,USA,NC,Charlotte Europa Games
150,Caitlin Cardone,F,SBD,25.0,136.08,74.84,147.42,24-34,365Strong,2016,USA,NC,Charlotte Europa Games
151,Hannah Cochran,F,SBD,28.0,120.2,54.43,151.95,24-34,365Strong,2016,USA,NC,Charlotte Europa Games
152,Dawn Bogart,F,SBD,42.0,136.08,92.99,158.76,40-44,365Strong,2016,USA,NC,Charlotte Europa Games
153,Dawn Bogart,F,SBD,42.0,136.08,92.99,158.76,40-44,365Strong,2016,USA,NC,Charlotte Europa Games
154,Nadia Zebouni,F,SBD,27.0,90.72,65.77,147.42,24-34,365Strong,2016,USA,NC,Charlotte Europa Games
155,Courtney Norris,F,SBD,27.0,163.29,90.72,158.76,24-34,365Strong,2016,USA,NC,Charlotte Europa Games
156,Alexis Eliopoulos,F,SBD,30.0,161.03,115.67,183.7,24-34,365Strong,2016,USA,NC,Charlotte Europa Games
255,Lindsay Seamans,F,SBD,30.0,97.52,40.82,102.06,24-34,365Strong,2016,USA,SC,Eastern USA Challenge
256,Dawn Bogart,F,SBD,42.0,120.2,79.38,133.81,40-44,365Strong,2016,USA,SC,Eastern USA Challenge
257,Caitlin Cardone,F,SBD,25.0,129.27,65.77,142.88,24-34,365Strong,2016,USA,SC,Eastern USA Challenge
258,Tina Bush,F,SBD,49.0,88.45,49.9,127.01,45-49,365Strong,2016,USA,SC,Eastern USA Challenge
259,Jessica Wissman,F,SBD,24.0,124.74,63.5,117.93,24-34,365Strong,2016,USA,SC,Eastern USA Challenge
260,Shayna Dence,F,SBD,33.0,124.74,61.23,129.27,24-34,365Strong,2016,USA,SC,Eastern USA Challenge
261,Dawn Bogart,F,SBD,42.0,120.2,79.38,133.81,40-44,365Strong,2016,USA,SC,Eastern USA Challenge
262,Tina Bush,F,SBD,49.0,88.45,49.9,127.01,45-49,365Strong,2016,USA,SC,Eastern USA Challenge
263,Tricia Emrich,F,SBD,43.0,106.59,61.23,124.74,40-44,365Strong,2016,USA,SC,Eastern USA Challenge
264,Dawn Bogart,F,SBD,42.0,120.2,79.38,133.81,40-44,365Strong,2016,USA,SC,Eastern USA Challenge
4498,Maria Yin,F,SBD,52.0,67.5,37.5,85.0,50-54,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships
4499,Tabitha Carbonel,F,SBD,34.0,95.0,37.5,115.0,24-34,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships
4500,Brooke Thayer,F,SBD,13.0,75.0,27.5,92.5,13-15,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships
4501,Huong Nguyen,F,SBD,35.0,75.0,35.0,87.5,35-39,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships
4503,Jennifer Thayer,F,SBD,42.0,80.0,37.5,120.0,40-44,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships
4504,Mary Vargas,F,SBD,35.0,105.0,45.0,125.0,35-39,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships
4506,Theresa Lesui,F,SBD,41.0,40.0,32.5,75.0,40-44,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships
4507,Lisa Voss,F,SBD,50.0,75.0,62.5,140.0,50-54,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships
4508,Maria Maldonado,F,SBD,23.0,112.5,42.5,137.5,20-23,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships
4527,Celleste Lindsay,F,SBD,7.0,20.0,15.5,42.5,5-12,AAU,2016,USA,NV,Worlds
4528,Damiyah Smith,F,SBD,10.0,60.0,30.0,75.0,5-12,AAU,2016,USA,NV,Worlds
4529,Emma Nylund,F,SBD,12.0,67.5,27.5,76.5,5-12,AAU,2016,USA,NV,Worlds
4530,Sascha Goldsmith,F,SBD,12.0,80.0,35.0,82.5,5-12,AAU,2016,USA,NV,Worlds
4531,Carissa Lindsay,F,SBD,10.0,32.5,17.5,52.5,5-12,AAU,2016,USA,NV,Worlds
4532,Sandra Tran,F,SBD,21.0,77.5,40.0,97.5,20-23,AAU,2016,USA,NV,Worlds
4533,Bailey Kuhlmann,F,SBD,18.0,85.0,58.5,120.0,18-19,AAU,2016,USA,NV,Worlds
4534,Rocky Luedeker,F,SBD,61.0,37.5,32.5,57.5,60-64,AAU,2016,USA,NV,Worlds
4535,Rocky Luedeker,F,SBD,61.0,37.5,32.5,57.5,60-64,AAU,2016,USA,NV,Worlds
4536,Robin Roth,F,SBD,46.0,32.5,30.0,82.5,45-49,AAU,2016,USA,NV,Worlds
4537,Delores Sutcliffe,F,SBD,54.0,65.0,37.5,82.5,50-54,AAU,2016,USA,NV,Worlds
4538,Delores Sutcliffe,F,SBD,54.0,65.0,37.5,82.5,50-54,AAU,2016,USA,NV,Worlds
4539,Chisato Dubose,F,SBD,52.0,80.0,40.0,110.0,50-54,AAU,2016,USA,NV,Worlds
4540,Asuba Alley-Barnes,F,SBD,28.0,103.5,67.5,130.0,24-34,AAU,2016,USA,NV,Worlds
4541,Elsie Magwire,F,SBD,16.0,135.0,66.5,157.5,16-17,AAU,2016,USA,NV,Worlds
4542,Jesse Allen-Gribaldi,F,SBD,28.0,77.5,45.0,107.5,24-34,AAU,2016,USA,NV,Worlds
4543,Sachie DuBose,F,SBD,16.0,147.5,67.5,177.5,16-17,AAU,2016,USA,NV,Worlds
4544,Gloria Moses,F,SBD,26.5,145.0,80.0,165.0,24-34,AAU,2016,USA,NV,Worlds
4545,Yvonne Van Sliphout,F,SBD,29.0,100.0,55.0,145.0,24-34,AAU,2016,USA,NV,Worlds
4546,Chandler Marrs,F,SBD,49.0,65.0,57.5,130.0,45-49,AAU,2016,USA,NV,Worlds
4547,Pamela Sherwell,F,SBD,45.0,125.0,87.5,137.5,45-49,AAU,2016,USA,NV,Worlds
11399,Judith Willis,F,SBD,30.5,80.0,42.5,115.0,24-34,APA,2016,USA,OR,Winter Classic
11400,Jessica Gale,F,SBD,,82.5,70.0,110.0,,APA,2016,USA,OR,Winter Classic
11401,Genyssa McCauley,F,SBD,22.5,95.0,62.5,107.5,20-23,APA,2016,USA,OR,Winter Classic
11402,Persida Mayyer,F,SBD,19.5,120.0,70.0,142.5,,APA,2016,USA,OR,Winter Classic
11403,Jennifer Hathaway,F,SBD,,82.5,47.5,120.0,,APA,2016,USA,OR,Winter Classic
11404,Marya Tracer,F,SBD,22.5,115.0,72.5,160.0,20-23,APA,2016,USA,OR,Winter Classic
11405,Amanda Lucier,F,SBD,35.5,82.5,45.0,112.5,35-39,APA,2016,USA,OR,Winter Classic
11406,Gretchen Vietmeier,F,SBD,24.5,122.5,62.5,137.5,24-34,APA,2016,USA,OR,Winter Classic
11407,Shawna Salmonson,F,SBD,24.5,115.0,77.5,162.5,24-34,APA,2016,USA,OR,Winter Classic
11408,Cindy Shockman,F,SBD,48.5,140.0,112.5,182.5,45-49,APA,2016,USA,OR,Winter Classic
11409,Kennedy Courtney,F,SBD,,110.0,75.0,142.5,,APA,2016,USA,OR,Winter Classic
11410,Zorahgail Balino,F,SBD,34.0,137.5,80.0,165.0,24-34,APA,2016,USA,OR,Winter Classic
11411,Cindy Shockman,F,SBD,48.5,140.0,112.5,182.5,45-49,APA,2016,USA,OR,Winter Classic
11412,Charlie Ritchie,F,SBD,44.0,102.5,75.0,137.5,40-44,APA,2016,USA,OR,Winter Classic
11413,Amy Vandenburgh,F,SBD,,127.5,60.0,150.0,,APA,2016,USA,OR,Winter Classic
11414,Kirsten Shockman,F,SBD,22.5,160.0,75.0,172.5,20-23,APA,2016,USA,OR,Winter Classic
11415,Elaine May,F,SBD,54.5,82.5,57.5,125.0,,APA,2016,USA,OR,Winter Classic
11416,Sheri Mura,F,SBD,50.5,115.0,55.0,137.5,50-54,APA,2016,USA,OR,Winter Classic
11446,Michele Sosnine,F,SBD,,100.0,57.5,87.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11447,Shayna Waldman,F,SBD,,82.5,57.5,100.0,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11448,Elizabeth West,F,SBD,,112.5,55.0,117.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11449,Amy Osborn,F,SBD,28.5,97.5,52.5,92.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11450,Jessica Wilkins,F,SBD,28.5,97.5,47.5,127.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11451,Elizabeth West,F,SBD,,112.5,55.0,112.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11452,Kaylie Klitzing,F,SBD,23.5,120.0,82.5,142.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
