,Name,Sex,Event,Age,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,AgeClass,Federation,Date,MeetCountry,MeetState,MeetName
11453,Grace Mammarella,F,SBD,,75.0,47.5,82.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11454,Chelyncia Schoonmaker,F,SBD,,85.0,57.5,90.0,45-49,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11455,Jessica Gale,F,SBD,,87.5,67.5,,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11456,Anna-Lisa Robbins,F,SBD,29.5,92.5,40.0,107.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11457,Amber Wilson,F,SBD,30.5,90.0,52.5,112.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11458,Sara Devlin,F,SBD,29.0,125.0,62.5,162.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11459,Nicole Hughson,F,SBD,,75.0,40.0,120.0,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11460,Christy Scott,F,SBD,35.5,87.5,45.0,117.5,35-39,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11461,Johnna Erickson,F,SBD,,127.5,57.5,130.0,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11462,Tanya Neilsen,F,SBD,39.5,85.0,42.5,122.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11463,Susan Price,F,SBD,,110.0,75.0,150.0,50-54,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11464,Darleen Tippie,F,SBD,23.5,97.5,67.5,125.0,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11465,Aileen Fajardo,F,SBD,,117.5,52.5,137.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11466,Marya Tracer,F,SBD,22.5,117.5,75.0,160.0,20-23,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11467,Lea Natera,F,SBD,25.5,137.5,82.5,172.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11468,Megan Keele,F,SBD,,75.0,52.5,82.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11469,Mara Bowman,F,SBD,37.5,90.0,55.0,107.5,35-39,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11470,Jennifer Rudakova,F,SBD,,102.5,62.5,115.0,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11471,Krista Lawver,F,SBD,29.5,102.5,47.5,127.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11472,Nicole Butz,F,SBD,25.5,110.0,52.5,155.0,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11473,Erin Murray,F,SBD,22.5,152.5,102.5,187.5,20-23,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11474,Kyrianna Sorensen,F,SBD,,137.5,80.0,172.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11475,Leah Davis,F,SBD,,175.0,82.5,177.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11476,Raegan Leong,F,SBD,20.5,130.0,60.0,130.0,20-23,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11477,Alexis Goldstein,F,SBD,,137.5,82.5,172.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11478,Elaine May,F,SBD,54.5,95.0,57.5,142.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11479,Becky Hambright,F,SBD,,90.0,62.5,145.0,65-69,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11480,Erin Stanton,F,SBD,27.0,235.0,107.5,227.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11481,Marie Balgamwalla,F,SBD,38.5,102.5,52.5,65.0,35-39,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11482,Joselyn Terry,F,SBD,18.5,105.0,50.0,120.0,18-19,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11483,Stephanie Steeves,F,SBD,,,,,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals
11622,Gina Yocco,F,SBD,27.0,,,,24-34,WPA,2016,USA,OR,World Championships
11623,Tiana Morris,F,SBD,27.0,117.5,55.0,122.5,24-34,WPA,2016,USA,OR,World Championships
11624,Amy Osborn,F,SBD,28.0,97.5,47.5,100.0,24-34,WPA,2016,USA,OR,World Championships
11625,Jessica Wilkins,F,SBD,30.0,95.0,50.0,130.0,24-34,WPA,2016,USA,OR,World Championships
11626,Jesica Gale,F,SBD,32.0,87.5,75.0,122.5,24-34,WPA,2016,USA,OR,World Championships
11627,Genyssa McCauley,F,SBD,23.0,107.5,62.5,122.5,20-23,WPA,2016,USA,OR,World Championships
11628,Bree Purvis,F,SBD,16.0,60.0,40.0,85.0,16-17,WPA,2016,USA,OR,World Championships
11629,Samantha Shew,F,SBD,30.0,90.0,57.5,120.0,24-34,WPA,2016,USA,OR,World Championships
11630,Sara Devlin,F,SBD,30.0,125.0,65.0,160.0,24-34,WPA,2016,USA,OR,World Championships
11631,Bree Purvis,F,SBD,16.0,60.0,40.0,85.0,16-17,WPA,2016,USA,OR,World Championships
11632,Katie Bergmann,F,SBD,23.0,80.0,57.5,97.5,20-23,WPA,2016,USA,OR,World Championships
11633,Christy Scott,F,SBD,36.0,95.0,47.5,122.5,35-39,WPA,2016,USA,OR,World Championships
11634,Jenny Kuhn,F,SBD,48.0,105.0,62.5,132.5,45-49,WPA,2016,USA,OR,World Championships
11635,Anna-Lisa Robbins,F,SBD,30.0,105.0,45.0,122.5,24-34,WPA,2016,USA,OR,World Championships
11636,Darleen Tippie,F,SBD,24.0,105.0,72.5,137.5,24-34,WPA,2016,USA,OR,World Championships
11637,Gretchen Vietmeier,F,SBD,25.0,125.0,67.5,135.0,24-34,WPA,2016,USA,OR,World Championships
11638,Marya Tracer,F,SBD,23.0,117.5,67.5,160.0,20-23,WPA,2016,USA,OR,World Championships
11639,Amber Yarnell,F,SBD,29.0,150.0,70.0,165.0,24-34,WPA,2016,USA,OR,World Championships
11640,Shawna Salmonson,F,SBD,25.0,137.5,87.5,182.5,24-34,WPA,2016,USA,OR,World Championships
11641,Lea Anne Natera,F,SBD,25.0,152.5,80.0,185.0,24-34,WPA,2016,USA,OR,World Championships
11642,Amanda Lucier,F,SBD,36.0,82.5,47.5,112.5,35-39,WPA,2016,USA,OR,World Championships
11643,Linda Graybeal,F,SBD,73.0,52.5,36.0,80.0,70-74,WPA,2016,USA,OR,World Championships
11644,Linda Graybeal,F,SBD,73.0,52.5,36.0,80.0,70-74,WPA,2016,USA,OR,World Championships
11645,Nicole Butz,F,SBD,26.0,102.5,55.0,145.0,24-34,WPA,2016,USA,OR,World Championships
11646,Wendy Schwandt,F,SBD,34.0,95.0,75.0,142.5,24-34,WPA,2016,USA,OR,World Championships
11647,Darci Molina,F,SBD,24.0,160.0,87.5,155.0,24-34,WPA,2016,USA,OR,World Championships
11648,Krista Lawver,F,SBD,30.0,110.0,55.0,137.5,24-34,WPA,2016,USA,OR,World Championships
11649,Wendy Schwandt,F,SBD,34.0,95.0,75.0,142.5,24-34,WPA,2016,USA,OR,World Championships
11650,Zorahgail Balino,F,SBD,35.0,182.5,77.5,167.5,35-39,WPA,2016,USA,OR,World Championships
11651,Stacy Terry,F,SBD,42.0,80.0,35.0,85.0,40-44,WPA,2016,USA,OR,World Championships
11652,Carol Moorhead,F,SBD,54.0,97.5,42.5,102.5,50-54,WPA,2016,USA,OR,World Championships
11653,Alexis Goldstein,F,SBD,35.0,152.5,85.0,190.0,35-39,WPA,2016,USA,OR,World Championships
11654,Lillian Danzer,F,SBD,38.0,160.0,97.5,192.5,35-39,WPA,2016,USA,OR,World Championships
11655,Alexis Goldstein,F,SBD,35.0,152.5,85.0,190.0,35-39,WPA,2016,USA,OR,World Championships
11656,Lillian Danzer,F,SBD,38.0,160.0,97.5,192.5,35-39,WPA,2016,USA,OR,World Championships
11657,Carol Moorhead,F,SBD,54.0,97.5,42.5,102.5,50-54,WPA,2016,USA,OR,World Championships
11658,Marcia Homer,F,SBD,50.0,102.5,52.5,127.5,50-54,WPA,2016,USA,OR,World Championships
11659,Nancy Lowther,F,SBD,58.0,,,,55-59,WPA,2016,USA,OR,World Championships
11660,Kayleigh Chase,F,SBD,26.0,142.5,42.5,175.0,24-34,WPA,2016,USA,OR,World Championships
11661,Marie Balgamwalla,F,SBD,39.0,102.5,55.0,105.0,35-39,WPA,2016,USA,OR,World Championships
11662,Karla Brody,F,SBD,34.0,120.0,60.0,137.5,24-34,WPA,2016,USA,OR,World Championships
11663,Joselyn Terry,F,SBD,19.0,127.5,40.0,137.5,18-19,WPA,2016,USA,OR,World Championships
11664,Nancy Lowther,F,SBD,58.0,,,,55-59,WPA,2016,USA,OR,World Championships
11665,Rebecca Jones,F,SBD,63.0,85.0,42.5,117.5,60-64,WPA,2016,USA,OR,World Championships
11666,Emily Wright,F,SBD,30.0,160.0,85.0,167.5,24-34,WPA,2016,USA,OR,World Championships
11667,Elaine May,F,SBD,55.0,103.5,63.5,145.0,55-59,WPA,2016,USA,OR,World Championships
11668,Nancy Rainey,F,SBD,49.0,125.0,67.5,152.5,45-49,WPA,2016,USA,OR,World Championships
11669,Kaitlynn Naert,F,SBD,14.0,102.5,47.5,142.5,13-15,WPA,2016,USA,OR,World Championships
11670,Shellie Corona,F,SBD,33.0,102.5,60.0,132.5,24-34,WPA,2016,USA,OR,World Championships
11671,Amy Lee,F,SBD,43.0,112.5,67.5,155.0,40-44,WPA,2016,USA,OR,World Championships
11672,Nancy Rainey,F,SBD,49.0,125.0,67.5,152.5,45-49,WPA,2016,USA,OR,World Championships
11673,Sheri Mura,F,SBD,51.0,132.5,62.5,147.5,50-54,WPA,2016,USA,OR,World Championships
11760,Nancy Lowther,F,SBD,57.0,106.59,65.77,117.93,55-59,APA,2016,USA,MO,District 5 Regionals
11761,Nancy Lowther,F,SBD,57.0,106.59,65.77,117.93,55-59,APA,2016,USA,MO,District 5 Regionals
11762,Nancy Rainey,F,SBD,48.0,115.67,65.77,156.49,45-49,APA,2016,USA,MO,District 5 Regionals
11763,Beverly Mann,F,SBD,51.0,83.91,43.09,106.59,50-54,APA,2016,USA,MO,District 5 Regionals
11764,Carol Moorhead,F,SBD,53.0,83.91,38.56,99.79,50-54,APA,2016,USA,MO,District 5 Regionals
11765,Amy Lee,F,SBD,42.0,115.67,65.77,147.42,40-44,APA,2016,USA,MO,District 5 Regionals
11766,Lillie Danzer,F,SBD,38.0,147.42,83.91,183.7,35-39,APA,2016,USA,MO,District 5 Regionals
11767,Allison James,F,SBD,35.0,104.33,65.77,127.01,35-39,APA,2016,USA,MO,District 5 Regionals
11768,Robyn Messerly,F,SBD,29.0,86.18,43.09,113.4,24-34,APA,2016,USA,MO,District 5 Regionals
11769,Grace Bramman,F,SBD,26.0,104.33,58.97,115.67,24-34,APA,2016,USA,MO,District 5 Regionals
11770,Lillie Danzer,F,SBD,38.0,147.42,83.91,183.7,35-39,APA,2016,USA,MO,District 5 Regionals
11771,Erica Norton,F,SBD,25.0,108.86,52.16,156.49,24-34,APA,2016,USA,MO,District 5 Regionals
11772,Jennifer Pautz,F,SBD,27.0,108.86,56.7,117.93,24-34,APA,2016,USA,MO,District 5 Regionals
11773,Catherine Domer,F,SBD,32.0,68.04,45.36,95.25,24-34,APA,2016,USA,MO,District 5 Regionals
11774,Allison James,F,SBD,35.0,104.33,65.77,127.01,35-39,APA,2016,USA,MO,District 5 Regionals
11775,Carol Moorhead,F,SBD,53.0,83.91,38.56,99.79,50-54,APA,2016,USA,MO,District 5 Regionals
11776,Emily Wright,F,SBD,29.0,138.35,77.11,149.69,24-34,APA,2016,USA,MO,District 5 Regionals
11777,Mary Tobin,F,SBD,30.0,90.72,88.45,156.49,24-34,APA,2016,USA,MO,District 5 Regionals
11838,Judith Willis,F,SBD,30.5,80.0,42.5,115.0,24-34,APA,2016,USA,OR,Winter Classic
11839,Jessica Gale,F,SBD,,82.5,70.0,110.0,,APA,2016,USA,OR,Winter Classic
11840,Genyssa McCauley,F,SBD,22.5,95.0,62.5,107.5,20-23,APA,2016,USA,OR,Winter Classic
11841,Persida Mayyer,F,SBD,19.5,120.0,70.0,142.5,,APA,2016,USA,OR,Winter Classic
11842,Jennifer Hathaway,F,SBD,,82.5,47.5,120.0,,APA,2016,USA,OR,Winter Classic
11843,Marya Tracer,F,SBD,22.5,115.0,72.5,160.0,20-23,APA,2016,USA,OR,Winter Classic
11844,Amanda Lucier,F,SBD,35.5,82.5,45.0,112.5,35-39,APA,2016,USA,OR,Winter Classic
11845,Gretchen Vietmeier,F,SBD,24.5,122.5,62.5,137.5,24-34,APA,2016,USA,OR,Winter Classic
11846,Shawna Salmonson,F,SBD,24.5,115.0,77.5,162.5,24-34,APA,2016,USA,OR,Winter Classic
11847,Cindy Shockman,F,SBD,48.5,140.0,112.5,182.5,45-49,APA,2016,USA,OR,Winter Classic
11848,Kennedy Courtney,F,SBD,,110.0,75.0,142.5,,APA,2016,USA,OR,Winter Classic
11849,Zorahgail Balino,F,SBD,34.0,137.5,80.0,165.0,24-34,APA,2016,USA,OR,Winter Classic
11850,Cindy Shockman,F,SBD,48.5,140.0,112.5,182.5,45-49,APA,2016,USA,OR,Winter Classic
11851,Charlie Ritchie,F,SBD,44.0,102.5,75.0,137.5,40-44,APA,2016,USA,OR,Winter Classic
11852,Amy Vandenburgh,F,SBD,,127.5,60.0,150.0,,APA,2016,USA,OR,Winter Classic
11853,Kirsten Shockman,F,SBD,22.5,160.0,75.0,172.5,20-23,APA,2016,USA,OR,Winter Classic
11854,Elaine May,F,SBD,54.5,82.5,57.5,125.0,,APA,2016,USA,OR,Winter Classic
11855,Sheri Mura,F,SBD,50.5,115.0,55.0,137.5,50-54,APA,2016,USA,OR,Winter Classic
11886,Rebecca Jones,F,SBD,63.0,54.43,43.09,108.86,60-64,APA,2016,USA,MO,Midwest Raw Winter Iron Bash
11887,Alyssa Wilson,F,SBD,26.0,70.31,47.63,136.08,24-34,APA,2016,USA,MO,Midwest Raw Winter Iron Bash
11888,Meaghan Haskell,F,SBD,27.0,86.18,38.56,102.06,24-34,APA,2016,USA,MO,Midwest Raw Winter Iron Bash
11910,Ciara Harmon,F,SBD,14.5,136.08,58.97,131.54,13-15,APA,2016,USA,MI,Central Mississippi Open
11911,Charla Clarke,F,SBD,,90.72,74.84,90.72,,APA,2016,USA,MI,Central Mississippi Open
11912,Lou Alex,F,SBD,40.5,122.47,95.25,158.76,40-44,APA,2016,USA,MI,Central Mississippi Open
11913,Amanda Reed,F,SBD,37.5,170.1,74.84,181.44,35-39,APA,2016,USA,MI,Central Mississippi Open
